GNW,0.2,1.88B,2.72B,After Market Close,Tuesday, August 1, 2023
CWH,0.7718,1.97B,2.70B,After Market Close,Tuesday, August 1, 2023
DORM,1.08,497.16M,2.61B,Before Market Open,Tuesday, August 1, 2023
JBLU,0.4396,2.61B,2.57B,Before Market Open,Tuesday, August 1, 2023
KAI,2.14,231.25M,2.54B,After Market Close,Tuesday, August 1, 2023
FNMA,--,7.67B,2.53B,Before Market Open,Tuesday, August 1, 2023
FNMAS,--,7.67B,2.53B,Before Market Open,Tuesday, August 1, 2023
BLMN,0.6433,1.15B,2.39B,Before Market Open,Tuesday, August 1, 2023
KMT,0.5872,567.84M,2.36B,Before Market Open,Tuesday, August 1, 2023
FCPT,0.2635,61.08M,2.28B,After Market Close,Tuesday, August 1, 2023
NMIH,0.8484,123.76M,2.24B,After Market Close,Tuesday, August 1, 2023
HRMY,0.6063,142.02M,2.11B,Before Market Open,Tuesday, August 1, 2023
TRN,0.3232,626.3M,2.09B,Before Market Open,Tuesday, August 1, 2023
ULCC,0.2838,965.82M,2.02B,After Market Close,Tuesday, August 1, 2023
GPOR,1.88,246.23M,2.01B,After Market Close,Tuesday, August 1, 2023
USAC,0.035,203.05M,1.93B,Before Market Open,Tuesday, August 1, 2023
THRM,0.4817,368.54M,1.91B,Before Market Open,Tuesday, August 1, 2023
SSTK,1.02,215.41M,1.84B,Before Market Open,Tuesday, August 1, 2023
MLNK,0.0502,77.57M,1.79B,After Market Close,Tuesday, August 1, 2023
